-----------------------------------------
| rollout/                |             |
|    explained_variance   | 0.0593       |
|    learning_rate        | 0.0003       |
|    loss                 | 6.35e+03     |
|    n_updates            | 440          |
|    policy_gradient_loss | 0.000228     |
|    std                  | 0.569        |
|    value_loss           | 5.11e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.99e+03   |
|    ep_rew_mean          | 2.81e+04   |
| time/                   |            |
|    fps                  | 2046       |
|    iterations           | 46         |
|    time_elapsed         | 460        |
|    total_timesteps      | 942080     |
| train/                  |            |
|    approx_kl            | 0.00250941 |
|    clip_fraction        | 0.0413     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.847     |
|    explained_variance   | 0.0231     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.75e+06   |
|    n_updates            | 450        |
|    policy_gradient_loss | -0.000633  |
|    std                  | 0.562      |
|    value_loss           | 8.29e+06   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2e+03        |
|    ep_rew_mean          | 2.92e+04     |
| time/                   |              |
|    fps                  | 2046         |
|    iterations           | 47           |
|    time_elapsed         | 470          |
|    total_timesteps      | 962560       |
| train/                  |              |
|    approx_kl            | 0.0050041233 |
|    clip_fraction        | 0.0396       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.838       |
|    explained_variance   | 0.0297       |
|    learning_rate        | 0.0003       |
|    loss                 | 6.52e+03     |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.000505    |
|    std                  | 0.558        |
|    value_loss           | 4.16e+06     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.98e+03    |
|    ep_rew_mean          | 2.61e+04    |
| time/                   |             |
|    fps                  | 2045        |
|    iterations           | 48          |
|    time_elapsed         | 480         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.002518008 |
|    clip_fraction        | 0.0275      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.835      |
|    explained_variance   | 0.0297      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.09e+03    |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.00043    |
|    std                  | 0.557       |
|    value_loss           | 8.3e+06     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.88e+03     |
|    ep_rew_mean          | 2.21e+04     |
| time/                   |              |
|    fps                  | 2045         |
|    iterations           | 49           |
|    time_elapsed         | 490          |
|    total_timesteps      | 1003520      |
| train/                  |              |
|    approx_kl            | 0.0032438966 |
|    clip_fraction        | 0.0463       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.833       |
|    explained_variance   | 0.0317       |
|    learning_rate        | 0.0003       |
|    loss                 | 5.12e+06     |
|    n_updates            | 480          |
|    policy_gradient_loss | 0.000971     |
|    std                  | 0.556        |
|    value_loss           | 8.29e+06     |
------------------------------------------
